ID 0 | CLASS D | COST 300 000
ID 101 | CLASS D | COST 300 000
ID 102 | CLASS C | COST 630 000
ID 103 | CLASS D | COST 300 000
ID 104 | CLASS D | COST 440 000
ID 105 | CLASS D | COST 320 000
ID 106 | CLASS D | COST 330 000
ID 107 | CLASS N | COST 200 000
ID 108 | CLASS D | COST 250 000
ID 109 | CLASS N | COST 120 000
ID 110 | CLASS N | COST 120 000
ID 111 | CLASS D | COST 200 000
ID 112 | CLASS N | COST 150 000
ID 113 | CLASS D | COST 340 000
ID 114 | CLASS D | COST 250 000
ID 115 | CLASS N | COST 130 000
ID 116 | CLASS D | COST 240 000
ID 117 | CLASS D | COST 300 000
ID 118 | CLASS N | COST 170 000
ID 119 | CLASS N | COST 160 000
ID 120 | CLASS N | COST 100 000
ID 121 | CLASS N | COST 100 000
ID 122 | CLASS N | COST 100 000
ID 123 | CLASS N | COST 100 000
ID 124 | CLASS N | COST 200 000
ID 125 | CLASS N | COST 200 000
ID 126 | CLASS N | COST 170 000
ID 127 | CLASS N | COST 200 000
ID 128 | CLASS N | COST 200 000
ID 129 | CLASS D | COST 360 000
ID 130 | CLASS N | COST 130 000
ID 131 | CLASS D | COST 230 000
ID 132 | CLASS N | COST 140 000
ID 133 | CLASS D | COST 300 000
ID 134 | CLASS D | COST 420 000
ID 135 | CLASS D | COST 420 000
ID 136 | CLASS D | COST 420 000
ID 137 | CLASS D | COST 480 000
ID 138 | CLASS D | COST 430 000
ID 139 | CLASS D | COST 400 000
ID 140 | CLASS C | COST 500 000
ID 141 | CLASS C | COST 600 000
ID 142 | CLASS C | COST 600 000
ID 143 | CLASS D | COST 300 000
ID 144 | CLASS D | COST 300 000
ID 145 | CLASS D | COST 400 000
ID 146 | CLASS D | COST 300 000
ID 147 | CLASS D | COST 270 000
ID 148 | CLASS D | COST 340 000
ID 149 | CLASS D | COST 300 000
ID 150 | CLASS D | COST 280 000
ID 151 | CLASS C | COST 500 000
ID 152 | CLASS C | COST 700 000
ID 153 | CLASS N | COST 160 000
ID 154 | CLASS N | COST 170 000
ID 155 | CLASS N | COST 120 000
ID 156 | CLASS D | COST 320 000
ID 157 | CLASS D | COST 300 000
ID 158 | CLASS D | COST 350 000
ID 159 | CLASS N | COST 200 000
ID 160 | CLASS N | COST 200 000
ID 161 | CLASS D | COST 260 000
ID 162 | CLASS N | COST 150 000
ID 163 | CLASS N | COST 130 000
ID 164 | CLASS N | COST 120 000
ID 165 | CLASS N | COST 140 000
ID 166 | CLASS N | COST 120 000
ID 167 | CLASS N | COST 130 000
ID 168 | CLASS N | COST 120 000
ID 169 | CLASS D | COST 400 000
ID 170 | CLASS N | COST 160 000
ID 171 | CLASS N | COST 130 000
ID 172 | CLASS D | COST 420 000
ID 173 | CLASS N | COST 130 000
ID 174 | CLASS D | COST 450 000
ID 175 | CLASS N | COST 160 000
ID 176 | CLASS N | COST 120 000
ID 177 | CLASS D | COST 450 000
ID 178 | CLASS D | COST 440 000
ID 179 | CLASS D | COST 390 000
ID 180 | CLASS N | COST 120 000
ID 181 | CLASS N | COST 140 000
ID 182 | CLASS N | COST 160 000
ID 183 | CLASS D | COST 310 000
ID 184 | CLASS D | COST 270 000
ID 185 | CLASS D | COST 420 000
ID 186 | CLASS D | COST 400 000
ID 187 | CLASS C | COST 1 000 000
ID 188 | CLASS N | COST 170 000
ID 189 | CLASS D | COST 380 000
ID 190 | CLASS N | COST 200 000
ID 191 | CLASS D | COST 400 000
ID 192 | CLASS N | COST 160 000
ID 193 | CLASS N | COST 120 000
ID 194 | CLASS D | COST 260 000
ID 195 | CLASS D | COST 310 000
ID 196 | CLASS N | COST 180 000
ID 197 | CLASS N | COST 200 000
ID 198 | CLASS D | COST 310 000
ID 199 | CLASS D | COST 400 000
ID 200 | CLASS N | COST 170 000
ID 201 | CLASS N | COST 140 000
ID 202 | CLASS N | COST 120 000
ID 203 | CLASS N | COST 100 000
ID 204 | CLASS N | COST 140 000
ID 205 | CLASS N | COST 150 000
ID 206 | CLASS N | COST 110 000
ID 207 | CLASS N | COST 110 000
ID 208 | CLASS N | COST 130 000
ID 209 | CLASS N | COST 110 000
ID 210 | CLASS N | COST 150 000
ID 211 | CLASS N | COST 150 000
ID 212 | CLASS N | COST 180 000
ID 213 | CLASS N | COST 180 000
ID 214 | CLASS N | COST 150 000
ID 215 | CLASS D | COST 260 000
ID 216 | CLASS N | COST 140 000
ID 217 | CLASS N | COST 140 000
ID 218 | CLASS N | COST 120 000
ID 219 | CLASS N | COST 120 000
ID 220 | CLASS N | COST 150 000
ID 221 | CLASS D | COST 270 000
ID 222 | CLASS N | COST 120 000
ID 223 | CLASS N | COST 160 000
ID 224 | CLASS N | COST 160 000
ID 225 | CLASS N | COST 180 000
ID 226 | CLASS C | COST 700 000
ID 227 | CLASS C | COST 700 000
ID 228 | CLASS C | COST 800 000
ID 229 | CLASS C | COST 650 000
ID 230 | CLASS C | COST 800 000
ID 231 | CLASS B | COST 1 800 000
ID 232 | CLASS C | COST 800 000
ID 233 | CLASS C | COST 900 000
ID 234 | CLASS C | COST 750 000
ID 235 | CLASS B | COST 1 900 000
ID 236 | CLASS C | COST 950 000
ID 237 | CLASS C | COST 650 000
ID 238 | CLASS C | COST 900 000
ID 239 | CLASS C | COST 600 000
ID 240 | CLASS C | COST 900 000
ID 241 | CLASS C | COST 700 000
ID 242 | CLASS C | COST 800 000
ID 243 | CLASS B | COST 1 600 000
ID 244 | CLASS B | COST 1 600 000
ID 245 | CLASS D | COST 400 000
ID 246 | CLASS D | COST 400 000
ID 247 | CLASS N | COST 200 000
ID 248 | CLASS N | COST 200 000
ID 249 | CLASS D | COST 250 000
ID 250 | CLASS N | COST 120 000
ID 251 | CLASS N | COST 120 000
ID 252 | CLASS N | COST 120 000
ID 253 | CLASS B | COST 1 800 000
ID 254 | CLASS C | COST 800 000
ID 255 | CLASS C | COST 850 000
ID 256 | CLASS C | COST 550 000
ID 257 | CLASS C | COST 600 000
ID 258 | CLASS N | COST 130 000
ID 259 | CLASS N | COST 130 000
ID 260 | CLASS N | COST 100 000
ID 261 | CLASS N | COST 100 000
ID 262 | CLASS D | COST 230 000
ID 263 | CLASS N | COST 150 000
ID 264 | CLASS N | COST 150 000
ID 265 | CLASS N | COST 130 000
ID 266 | CLASS D | COST 260 000
ID 267 | CLASS N | COST 120 000
ID 268 | CLASS N | COST 100 000
ID 269 | CLASS D | COST 270 000
ID 270 | CLASS N | COST 120 000
ID 271 | CLASS N | COST 120 000
ID 272 | CLASS N | COST 120 000
ID 273 | CLASS D | COST 300 000
ID 274 | CLASS N | COST 120 000
ID 275 | CLASS N | COST 130 000
ID 276 | CLASS N | COST 100 000
ID 277 | CLASS N | COST 130 000
ID 278 | CLASS N | COST 150 000
ID 279 | CLASS N | COST 150 000
ID 280 | CLASS N | COST 100 000
ID 281 | CLASS N | COST 120 000
ID 282 | CLASS N | COST 130 000
ID 283 | CLASS D | COST 280 000
ID 284 | CLASS N | COST 130 000
ID 285 | CLASS N | COST 150 000
ID 286 | CLASS D | COST 300 000
ID 287 | CLASS N | COST 100 000
ID 288 | CLASS N | COST 120 000
ID 289 | CLASS N | COST 100 000
ID 290 | CLASS N | COST 120 000
ID 291 | CLASS D | COST 270 000
ID 292 | CLASS N | COST 100 000
ID 293 | CLASS N | COST 140 000
ID 294 | CLASS N | COST 120 000
ID 295 | CLASS N | COST 100 000
ID 296 | CLASS N | COST 100 000
ID 297 | CLASS N | COST 100 000
ID 298 | CLASS N | COST 150 000
ID 299 | CLASS D | COST 270 000
ID 300 | CLASS D | COST 360 000
ID 301 | CLASS D | COST 380 000
ID 302 | CLASS D | COST 370 000
ID 303 | CLASS D | COST 340 000
ID 304 | CLASS C | COST 700 000
ID 305 | CLASS C | COST 700 000
ID 306 | CLASS C | COST 900 000
ID 307 | CLASS C | COST 900 000
ID 308 | CLASS C | COST 900 000
ID 309 | CLASS C | COST 900 000
ID 310 | CLASS C | COST 900 000
ID 311 | CLASS C | COST 900 000
ID 312 | CLASS C | COST 700 000
ID 313 | CLASS B | COST 2 000 000
ID 314 | CLASS A | COST 5 000 000
ID 315 | CLASS A | COST 4 500 000
ID 316 | CLASS A | COST 5 000 000
ID 317 | CLASS A | COST 5 000 000
ID 318 | CLASS A | COST 4 500 000
ID 319 | CLASS A | COST 4 500 000
ID 320 | CLASS A | COST 5 000 000
ID 321 | CLASS A | COST 4 600 000
ID 322 | CLASS A | COST 4 900 000
ID 323 | CLASS A | COST 4 900 000
ID 324 | CLASS B | COST 3 000 000
ID 325 | CLASS B | COST 2 400 000
ID 326 | CLASS A | COST 5 000 000
ID 327 | CLASS A | COST 5 000 000
ID 328 | CLASS B | COST 2 600 000
ID 329 | CLASS B | COST 2 600 000
ID 330 | CLASS B | COST 2 700 000
ID 331 | CLASS B | COST 2 600 000
ID 332 | CLASS B | COST 3 000 000
ID 333 | CLASS B | COST 3 000 000
ID 334 | CLASS B | COST 2 600 000
ID 335 | CLASS B | COST 2 200 000
ID 336 | CLASS B | COST 2 200 000
ID 337 | CLASS D | COST 430 000
ID 338 | CLASS C | COST 600 000
ID 339 | CLASS C | COST 500 000
ID 340 | CLASS C | COST 600 000
ID 341 | CLASS D | COST 360 000
ID 342 | CLASS D | COST 360 000
ID 343 | CLASS B | COST 2 000 000
ID 344 | CLASS C | COST 600 000
ID 345 | CLASS C | COST 800 000
ID 346 | CLASS D | COST 400 000
ID 347 | CLASS N | COST 180 000
ID 348 | CLASS D | COST 360 000
ID 349 | CLASS D | COST 300 000
ID 350 | CLASS D | COST 450 000
ID 351 | CLASS C | COST 500 000
ID 352 | CLASS D | COST 300 000
ID 353 | CLASS C | COST 700 000
ID 354 | CLASS C | COST 600 000
ID 355 | CLASS D | COST 500 000
ID 356 | CLASS B | COST 2 000 000
ID 357 | CLASS B | COST 700 000
ID 358 | CLASS B | COST 2 000 000
ID 359 | CLASS D | COST 380 000
ID 360 | CLASS D | COST 360 000
ID 361 | CLASS B | COST 2 800 000
ID 362 | CLASS B | COST 2 400 000
ID 363 | CLASS A | COST 4 000 000
ID 364 | CLASS A | COST 8 000 000
ID 365 | CLASS D | COST 400 000
ID 366 | CLASS D | COST 400 000
ID 367 | CLASS D | COST 400 000
ID 368 | CLASS C | COST 1 000 000
ID 369 | CLASS D | COST 400 000
ID 370 | CLASS D | COST 500 000
ID 371 | CLASS A | COST 5 000 000
ID 372 | CLASS A | COST 6 000 000
ID 373 | CLASS A | COST 4 000 000
ID 374 | CLASS A | COST 4 000 000
ID 375 | CLASS B | COST 2 500 000
ID 376 | CLASS A | COST 7 500 000
ID 377 | CLASS A | COST 5 000 000
ID 378 | CLASS A | COST 6 000 000
ID 379 | CLASS B | COST 3 500 000
ID 380 | CLASS B | COST 3 500 000
ID 381 | CLASS A | COST 5 000 000
ID 382 | CLASS B | COST 2 000 000
ID 383 | CLASS C | COST 3 000 000
ID 384 | CLASS C | COST 2 000 000
ID 385 | CLASS C | COST 2 000 000
ID 386 | CLASS C | COST 2 000 000
ID 387 | CLASS C | COST 2 000 000
ID 388 | CLASS C | COST 2 000 000
ID 389 | CLASS C | COST 2 000 000
ID 390 | CLASS C | COST 2 000 000
ID 391 | CLASS C | COST 2 000 000
ID 392 | CLASS C | COST 2 000 000
ID 393 | CLASS C | COST 2 000 000
ID 394 | CLASS C | COST 2 000 000
ID 395 | CLASS C | COST 2 000 000
ID 396 | CLASS C | COST 2 000 000
ID 397 | CLASS C | COST 2 000 000
ID 398 | CLASS C | COST 2 000 000
ID 399 | CLASS C | COST 2 000 000
ID 400 | CLASS C | COST 2 000 000
ID 401 | CLASS C | COST 2 000 000
ID 402 | CLASS C | COST 2 000 000
ID 403 | CLASS C | COST 2 000 000
ID 404 | CLASS C | COST 2 000 000
ID 405 | CLASS C | COST 2 000 000
ID 406 | CLASS C | COST 2 000 000
ID 407 | CLASS C | COST 2 000 000
ID 408 | CLASS C | COST 2 000 000
ID 409 | CLASS C | COST 2 000 000
ID 410 | CLASS C | COST 2 000 000
ID 411 | CLASS C | COST 2 000 000
ID 412 | CLASS C | COST 2 000 000
ID 413 | CLASS C | COST 2 000 000
ID 414 | CLASS C | COST 2 000 000
ID 415 | CLASS C | COST 2 000 000
ID 416 | CLASS C | COST 2 000 000
ID 417 | CLASS C | COST 2 000 000
ID 418 | CLASS C | COST 2 000 000
ID 419 | CLASS C | COST 2 000 000
ID 420 | CLASS C | COST 2 000 000
ID 421 | CLASS C | COST 2 000 000
ID 422 | CLASS C | COST 2 000 000
ID 423 | CLASS C | COST 2 000 000
ID 424 | CLASS C | COST 2 000 000
ID 425 | CLASS C | COST 2 000 000
ID 426 | CLASS C | COST 2 000 000
ID 427 | CLASS C | COST 2 000 000
ID 428 | CLASS C | COST 2 000 000
ID 429 | CLASS C | COST 2 000 000
ID 430 | CLASS C | COST 2 000 000
ID 431 | CLASS C | COST 2 000 000
ID 432 | CLASS C | COST 2 000 000
ID 433 | CLASS C | COST 2 500 000
ID 434 | CLASS C | COST 2 000 000
ID 435 | CLASS C | COST 2 000 000
ID 436 | CLASS C | COST 2 000 000
ID 437 | CLASS C | COST 2 000 000
ID 438 | CLASS C | COST 2 000 000
ID 439 | CLASS C | COST 2 000 000
ID 440 | CLASS C | COST 2 000 000
ID 441 | CLASS C | COST 2 000 000
ID 442 | CLASS C | COST 3 500 000
ID 443 | CLASS C | COST 2 000 000
ID 444 | CLASS C | COST 2 000 000
ID 445 | CLASS C | COST 2 000 000
ID 446 | CLASS C | COST 2 000 000
ID 447 | CLASS C | COST 2 000 000
ID 448 | CLASS C | COST 2 000 000
ID 449 | CLASS C | COST 2 000 000
ID 450 | CLASS C | COST 2 000 000
ID 451 | CLASS C | COST 2 000 000
ID 452 | CLASS C | COST 2 000 000
ID 453 | CLASS C | COST 2 000 000
ID 454 | CLASS C | COST 2 000 000
ID 455 | CLASS C | COST 2 000 000
ID 456 | CLASS C | COST 2 000 000
ID 457 | CLASS C | COST 2 000 000
ID 458 | CLASS C | COST 2 000 000
ID 459 | CLASS C | COST 2 000 000
ID 460 | CLASS C | COST 2 000 000
ID 461 | CLASS C | COST 2 000 000
ID 462 | CLASS B | COST 3 000 000
ID 463 | CLASS C | COST 2 500 000
ID 464 | CLASS C | COST 2 500 000
ID 465 | CLASS C | COST 2 000 000
ID 466 | CLASS C | COST 2 000 000
ID 467 | CLASS C | COST 2 000 000
ID 468 | CLASS C | COST 2 000 000
ID 469 | CLASS C | COST 2 000 000
ID 470 | CLASS C | COST 2 000 000
ID 471 | CLASS C | COST 2 500 000
ID 472 | CLASS C | COST 2 000 000
ID 473 | CLASS C | COST 2 500 000
ID 474 | CLASS C | COST 2 000 000
ID 475 | CLASS C | COST 2 500 000
ID 476 | CLASS C | COST 2 500 000
ID 477 | CLASS C | COST 2 000 000
ID 478 | CLASS C | COST 2 500 000
ID 479 | CLASS C | COST 2 000 000
ID 480 | CLASS C | COST 2 000 000
ID 481 | CLASS C | COST 2 000 000
ID 482 | CLASS C | COST 2 500 000
ID 483 | CLASS C | COST 2 500 000
ID 484 | CLASS C | COST 2 500 000
ID 485 | CLASS C | COST 2 000 000
ID 486 | CLASS C | COST 2 000 000
ID 487 | CLASS C | COST 2 500 000
ID 488 | CLASS C | COST 2 500 000
ID 489 | CLASS C | COST 2 000 000
ID 490 | CLASS D | COST 200 000
ID 491 | CLASS C | COST 3 000 000
ID 492 | CLASS C | COST 3 000 000
ID 493 | CLASS A | COST 15 000 000
ID 494 | CLASS S | COST 25 000 000
ID 495 | CLASS C | COST 6 000 000
ID 496 | CLASS C | COST 3 000 000
ID 497 | CLASS B | COST 4 000 000
ID 498 | CLASS C | COST 600 000
ID 499 | CLASS C | COST 1 000 000
ID 500 | CLASS D | COST 400 000
ID 501 | CLASS C | COST 700 000
ID 502 | CLASS D | COST 500 000
ID 503 | CLASS D | COST 350 000
ID 504 | CLASS C | COST 500 000
ID 505 | CLASS C | COST 700 000
ID 506 | CLASS B | COST 2 000 000
ID 507 | CLASS B | COST 2 000 000
ID 508 | CLASS D | COST 500 000
ID 509 | CLASS D | COST 400 000
ID 510 | CLASS C | COST 1 000 000
ID 511 | CLASS D | COST 300 000
ID 512 | CLASS C | COST 700 000
ID 513 | CLASS D | COST 500 000
ID 514 | CLASS D | COST 300 000
ID 515 | CLASS D | COST 500 000
ID 516 | CLASS C | COST 1 000 000
ID 517 | CLASS B | COST 2 000 000
ID 518 | CLASS B | COST 3 000 000
ID 519 | CLASS B | COST 3 000 000
ID 520 | CLASS B | COST 3 000 000
ID 521 | CLASS B | COST 3 000 000
ID 522 | CLASS B | COST 3 000 000
ID 523 | CLASS B | COST 3 000 000
ID 524 | CLASS N | COST 100 000
ID 525 | CLASS N | COST 100 000
ID 526 | CLASS D | COST 300 000
ID 527 | CLASS D | COST 300 000
ID 528 | CLASS D | COST 300 000
ID 529 | CLASS N | COST 100 000
ID 530 | CLASS N | COST 130 000
ID 531 | CLASS N | COST 140 000
ID 532 | CLASS N | COST 130 000
ID 533 | CLASS N | COST 130 000
ID 534 | CLASS D | COST 300 000
ID 535 | CLASS N | COST 200 000
ID 536 | CLASS N | COST 200 000
ID 537 | CLASS D | COST 300 000
ID 538 | CLASS D | COST 300 000
ID 539 | CLASS D | COST 340 000
ID 540 | CLASS D | COST 440 000
ID 541 | CLASS D | COST 500 000
ID 542 | CLASS D | COST 400 000
ID 543 | CLASS D | COST 400 000
ID 544 | CLASS D | COST 400 000
ID 545 | CLASS D | COST 400 000
ID 546 | CLASS D | COST 400 000
ID 547 | CLASS D | COST 400 000
ID 548 | CLASS D | COST 400 000
ID 549 | CLASS D | COST 400 000
ID 550 | CLASS N | COST 150 000
ID 551 | CLASS N | COST 150 000
ID 552 | CLASS N | COST 120 000
ID 553 | CLASS N | COST 160 000
ID 554 | CLASS N | COST 200 000
ID 555 | CLASS N | COST 200 000
ID 556 | CLASS N | COST 150 000
ID 557 | CLASS N | COST 120 000
ID 558 | CLASS D | COST 400 000
ID 559 | CLASS D | COST 400 000
ID 560 | CLASS A | COST 6 000 000
ID 561 | CLASS B | COST 3 000 000
ID 562 | CLASS A | COST 2 000 000
ID 563 | CLASS C | COST 2 000 000
ID 564 | CLASS C | COST 700 000
ID 565 | CLASS A | COST 20 000 000
ID 566 | CLASS D | COST 0
ID 567 | CLASS D | COST 0
ID 568 | CLASS D | COST 0
ID 569 | CLASS D | COST 0
ID 570 | CLASS D | COST 0
ID 571 | CLASS C | COST 1 000 000
ID 572 | CLASS D | COST 500 000
ID 573 | CLASS D | COST 700 000
ID 574 | CLASS C | COST 1 000 000
ID 575 | CLASS C | COST 1 000 000
ID 576 | CLASS C | COST 1 000 000
ID 577 | CLASS C | COST 1 000 000
ID 578 | CLASS C | COST 1 000 000
ID 579 | CLASS C | COST 1 000 000
ID 580 | CLASS C | COST 1 000 000
ID 581 | CLASS C | COST 1 000 000
ID 582 | CLASS C | COST 1 000 000
ID 583 | CLASS C | COST 1 000 000
ID 584 | CLASS C | COST 1 000 000
ID 585 | CLASS C | COST 1 000 000
ID 586 | CLASS C | COST 1 000 000
ID 587 | CLASS C | COST 1 000 000
ID 588 | CLASS B | COST 2 500 000
ID 589 | CLASS C | COST 1 000 000
ID 590 | CLASS C | COST 1 000 000
ID 591 | CLASS C | COST 1 000 000
ID 592 | CLASS C | COST 1 000 000
ID 593 | CLASS B | COST 2 500 000
ID 594 | CLASS C | COST 1 000 000
ID 595 | CLASS C | COST 1 000 000
ID 596 | CLASS C | COST 1 000 000
ID 597 | CLASS C | COST 1 000 000
ID 598 | CLASS C | COST 1 000 000
ID 599 | CLASS C | COST 1 000 000
ID 600 | CLASS C | COST 1 000 000
ID 601 | CLASS C | COST 1 000 000
ID 602 | CLASS C | COST 1 000 000
ID 603 | CLASS D | COST 500 000
ID 604 | CLASS D | COST 500 000
ID 605 | CLASS D | COST 500 000
ID 606 | CLASS D | COST 500 000
ID 607 | CLASS D | COST 500 000
ID 608 | CLASS D | COST 500 000
ID 609 | CLASS D | COST 500 000
ID 610 | CLASS D | COST 500 000
ID 611 | CLASS D | COST 500 000
ID 612 | CLASS D | COST 500 000
ID 613 | CLASS D | COST 650 000
ID 614 | CLASS D | COST 650 000
ID 615 | CLASS D | COST 650 000
ID 616 | CLASS D | COST 650 000
ID 617 | CLASS D | COST 650 000
ID 618 | CLASS D | COST 650 000
ID 619 | CLASS D | COST 650 000
ID 620 | CLASS D | COST 650 000
ID 621 | CLASS B | COST 2 500 000
ID 622 | CLASS C | COST 1 500 000
ID 623 | CLASS  | COST 1 500 000
ID 624 | CLASS C | COST 1 500 000
ID 625 | CLASS C | COST 1 000 000
ID 626 | CLASS C | COST 1 000 000
ID 627 | CLASS C | COST 1 000 000
ID 628 | CLASS C | COST 1 000 000
ID 629 | CLASS C | COST 1 000 000
ID 630 | CLASS C | COST 1 000 000
ID 631 | CLASS C | COST 1 000 000
ID 632 | CLASS C | COST 1 000 000
ID 633 | CLASS C | COST 1 000 000
ID 634 | CLASS D | COST 450 000
ID 635 | CLASS D | COST 450 000
ID 636 | CLASS D | COST 450 000
ID 637 | CLASS D | COST 450 000
ID 638 | CLASS D | COST 450 000
ID 639 | CLASS D | COST 450 000
ID 640 | CLASS D | COST 450 000
ID 641 | CLASS D | COST 450 000
ID 642 | CLASS A | COST 15 000 000
ID 643 | CLASS C | COST 1 250 000
ID 644 | CLASS C | COST 1 250 000
ID 645 | CLASS C | COST 1 250 000
ID 646 | CLASS C | COST 1 250 000
ID 647 | CLASS C | COST 1 250 000
ID 648 | CLASS C | COST 1 250 000
ID 649 | CLASS C | COST 1 250 000
ID 650 | CLASS C | COST 1 250 000
ID 651 | CLASS C | COST 1 250 000
ID 652 | CLASS C | COST 1 250 000
ID 653 | CLASS C | COST 1 250 000
ID 654 | CLASS C | COST 1 250 000
ID 655 | CLASS C | COST 1 250 000
ID 656 | CLASS C | COST 1 250 000
ID 657 | CLASS C | COST 1 250 000
ID 658 | CLASS C | COST 1 250 000
ID 659 | CLASS C | COST 1 250 000
ID 660 | CLASS C | COST 1 250 000
ID 661 | CLASS C | COST 1 250 000
ID 662 | CLASS C | COST 1 250 000
ID 663 | CLASS C | COST 3 000 000
ID 664 | CLASS C | COST 3 000 000
ID 665 | CLASS C | COST 3 000 000
ID 666 | CLASS C | COST 1 250 000
ID 667 | CLASS C | COST 1 250 000
ID 668 | CLASS C | COST 1 250 000
ID 669 | CLASS C | COST 1 250 000
ID 670 | CLASS C | COST 1 250 000
ID 671 | CLASS C | COST 1 250 000
ID 672 | CLASS C | COST 1 250 000
ID 673 | CLASS C | COST 1 250 000
ID 674 | CLASS C | COST 1 250 000
ID 675 | CLASS C | COST 1 250 000
ID 676 | CLASS C | COST 1 250 000
ID 677 | CLASS C | COST 1 250 000
ID 678 | CLASS C | COST 1 250 000
ID 679 | CLASS C | COST 1 250 000
ID 680 | CLASS C | COST 1 250 000
ID 681 | CLASS C | COST 1 250 000
ID 682 | CLASS C | COST 1 250 000
ID 683 | CLASS C | COST 1 250 000
ID 684 | CLASS C | COST 1 250 000
ID 685 | CLASS C | COST 1 250 000
ID 686 | CLASS C | COST 1 250 000
ID 687 | CLASS C | COST 1 250 000
ID 688 | CLASS C | COST 1 250 000
ID 689 | CLASS C | COST 1 250 000
ID 690 | CLASS C | COST 1 250 000
ID 691 | CLASS C | COST 1 250 000
ID 692 | CLASS C | COST 1 250 000
ID 693 | CLASS C | COST 1 250 000
ID 694 | CLASS C | COST 1 250 000
ID 695 | CLASS C | COST 1 250 000
ID 696 | CLASS C | COST 1 250 000
ID 697 | CLASS C | COST 1 250 000
ID 698 | CLASS C | COST 1 250 000
ID 699 | CLASS C | COST 1 250 000
ID 700 | CLASS C | COST 1 250 000
