ID 1 | CLASS S | COST 1000000
ID 291 | CLASS D | COST 350000
ID 292 | CLASS N | COST 500000
ID 293 | CLASS D | COST 350000
ID 294 | CLASS N | COST 500000
ID 295 | CLASS N | COST 500000
ID 296 | CLASS D | COST 350000
ID 297 | CLASS N | COST 500000
ID 298 | CLASS C | COST 1500000
ID 299 | CLASS N | COST 500000
ID 300 | CLASS N | COST 500000
ID 301 | CLASS N | COST 500000
ID 302 | CLASS D | COST 350000
ID 303 | CLASS D | COST 350000
ID 304 | CLASS D | COST 350000
ID 305 | CLASS D | COST 350000
ID 306 | CLASS D | COST 350000
ID 307 | CLASS D | COST 350000
ID 308 | CLASS D | COST 350000
ID 309 | CLASS D | COST 350000
ID 310 | CLASS N | COST 500000
ID 311 | CLASS N | COST 500000
ID 312 | CLASS N | COST 500000
ID 313 | CLASS D | COST 350000
ID 314 | CLASS N | COST 500000
ID 315 | CLASS D | COST 350000
ID 316 | CLASS N | COST 500000
ID 317 | CLASS N | COST 500000
ID 318 | CLASS N | COST 500000
ID 319 | CLASS D | COST 350000
ID 320 | CLASS D | COST 350000
ID 321 | CLASS N | COST 500000
ID 322 | CLASS N | COST 500000
ID 323 | CLASS C | COST 1500000
ID 324 | CLASS C | COST 1500000
ID 325 | CLASS C | COST 1500000
ID 326 | CLASS C | COST 1500000
ID 327 | CLASS C | COST 1500000
ID 328 | CLASS C | COST 1500000
ID 329 | CLASS C | COST 1500000
ID 330 | CLASS C | COST 1500000
ID 331 | CLASS B | COST 2500000
ID 332 | CLASS B | COST 2500000
ID 333 | CLASS C | COST 1500000
ID 334 | CLASS C | COST 1500000
ID 335 | CLASS C | COST 500000
ID 336 | CLASS C | COST 500000
ID 337 | CLASS C | COST 500000
ID 338 | CLASS C | COST 1500000
ID 339 | CLASS C | COST 1500000
ID 340 | CLASS C | COST 1500000
ID 341 | CLASS C | COST 1500000
ID 342 | CLASS C | COST 500000
ID 343 | CLASS C | COST 1500000
ID 344 | CLASS C | COST 1500000
ID 345 | CLASS C | COST 500000
ID 346 | CLASS C | COST 500000
ID 347 | CLASS C | COST 500000
ID 348 | CLASS C | COST 500000
ID 349 | CLASS C | COST 500000
ID 350 | CLASS C | COST 500000
ID 351 | CLASS C | COST 1500000
ID 352 | CLASS C | COST 1500000
ID 353 | CLASS C | COST 1500000
ID 354 | CLASS C | COST 1500000
ID 355 | CLASS C | COST 1500000
ID 356 | CLASS C | COST 500000
ID 357 | CLASS C | COST 1500000
ID 358 | CLASS C | COST 1500000
ID 359 | CLASS C | COST 500000
ID 360 | CLASS C | COST 500000
ID 361 | CLASS C | COST 1500000
ID 362 | CLASS C | COST 1500000
ID 363 | CLASS C | COST 500000
ID 364 | CLASS C | COST 1500000
ID 365 | CLASS C | COST 1500000
ID 366 | CLASS C | COST 1500000
ID 367 | CLASS C | COST 500000
ID 368 | CLASS C | COST 1500000
ID 369 | CLASS C | COST 1500000
ID 370 | CLASS C | COST 1500000
ID 371 | CLASS C | COST 400000
ID 372 | CLASS C | COST 1500000
ID 373 | CLASS C | COST 1500000
ID 374 | CLASS C | COST 1500000
ID 375 | CLASS C | COST 500000
ID 376 | CLASS C | COST 1500000
ID 377 | CLASS C | COST 1500000
ID 378 | CLASS C | COST 1500000
ID 379 | CLASS B | COST 2500000
ID 380 | CLASS C | COST 1500000
ID 381 | CLASS C | COST 1500000
ID 382 | CLASS C | COST 1500000
ID 383 | CLASS N | COST 500000
ID 384 | CLASS C | COST 1500000
ID 385 | CLASS C | COST 1500000
ID 386 | CLASS C | COST 1500000
ID 387 | CLASS C | COST 1500000
ID 388 | CLASS C | COST 1500000
ID 389 | CLASS C | COST 1500000
ID 390 | CLASS N | COST 500000
ID 391 | CLASS C | COST 800000
ID 392 | CLASS C | COST 1500000
ID 393 | CLASS C | COST 1500000
ID 394 | CLASS C | COST 800000
ID 395 | CLASS C | COST 1500000
ID 396 | CLASS C | COST 800000
ID 397 | CLASS C | COST 800000
ID 398 | CLASS C | COST 1500000
ID 399 | CLASS C | COST 1500000
ID 400 | CLASS C | COST 1500000
ID 401 | CLASS C | COST 1500000
ID 402 | CLASS C | COST 1500000
ID 403 | CLASS C | COST 1500000
ID 404 | CLASS C | COST 1500000
ID 405 | CLASS C | COST 1500000
ID 406 | CLASS C | COST 800000
ID 407 | CLASS C | COST 1500000
ID 408 | CLASS C | COST 1500000
ID 409 | CLASS C | COST 1500000
ID 410 | CLASS C | COST 800000
ID 411 | CLASS N | COST 500000
ID 412 | CLASS C | COST 1500000
ID 413 | CLASS C | COST 1500000
ID 414 | CLASS S | COST 1500000
ID 415 | CLASS N | COST 500000
ID 416 | CLASS C | COST 1500000
ID 417 | CLASS C | COST 1500000
ID 418 | CLASS C | COST 1500000
ID 419 | CLASS C | COST 1500000
ID 420 | CLASS C | COST 1500000
ID 421 | CLASS C | COST 1500000
ID 422 | CLASS C | COST 1500000
ID 423 | CLASS C | COST 1500000
ID 424 | CLASS C | COST 800000
ID 425 | CLASS N | COST 500000
ID 426 | CLASS C | COST 1500000
ID 427 | CLASS C | COST 1500000
ID 428 | CLASS C | COST 1500000
ID 429 | CLASS B | COST 2500000
ID 430 | CLASS C | COST 1500000
ID 431 | CLASS C | COST 800000
ID 432 | CLASS C | COST 800000
ID 433 | CLASS C | COST 800000
ID 434 | CLASS C | COST 1500000
ID 435 | CLASS C | COST 1500000
ID 436 | CLASS C | COST 1500000
ID 437 | CLASS C | COST 1500000
ID 438 | CLASS C | COST 1500000
ID 439 | CLASS N | COST 500000
ID 440 | CLASS C | COST 1500000
ID 441 | CLASS C | COST 1500000
ID 442 | CLASS C | COST 1500000
ID 443 | CLASS C | COST 1500000
ID 444 | CLASS C | COST 1500000
ID 445 | CLASS C | COST 1500000
ID 446 | CLASS B | COST 2500000
ID 447 | CLASS C | COST 1500000
ID 448 | CLASS C | COST 1500000
ID 449 | CLASS C | COST 1500000
ID 450 | CLASS C | COST 800000
ID 451 | CLASS C | COST 1500000
ID 452 | CLASS C | COST 500000
ID 453 | CLASS C | COST 1500000
ID 454 | CLASS C | COST 1500000
ID 455 | CLASS C | COST 700000
ID 456 | CLASS A | COST 16000000
ID 457 | CLASS C | COST 1500000
ID 458 | CLASS B | COST 2500000
ID 459 | CLASS B | COST 2500000
ID 460 | CLASS B | COST 2500000
ID 461 | CLASS A | COST 2500000
ID 462 | CLASS B | COST 2500000
ID 463 | CLASS B | COST 1500000
ID 464 | CLASS B | COST 2500000
ID 465 | CLASS A | COST 2500000
ID 466 | CLASS C | COST 500000
ID 467 | CLASS B | COST 1500000
ID 468 | CLASS C | COST 1500000
ID 469 | CLASS C | COST 1500000
ID 470 | CLASS C | COST 1500000
ID 471 | CLASS C | COST 1500000
ID 472 | CLASS C | COST 1500000
ID 473 | CLASS C | COST 1500000
ID 474 | CLASS C | COST 1500000
ID 475 | CLASS C | COST 800000
ID 476 | CLASS C | COST 1500000
ID 477 | CLASS C | COST 800000
ID 478 | CLASS C | COST 800000
ID 479 | CLASS C | COST 800000
ID 480 | CLASS C | COST 1500000
ID 481 | CLASS C | COST 1500000
ID 482 | CLASS C | COST 800000
ID 483 | CLASS C | COST 1500000
ID 484 | CLASS C | COST 1500000
ID 485 | CLASS C | COST 800000
ID 486 | CLASS C | COST 1500000
ID 487 | CLASS C | COST 800000
ID 488 | CLASS C | COST 1500000
ID 489 | CLASS C | COST 1500000
ID 490 | CLASS C | COST 1500000
ID 491 | CLASS C | COST 800000
ID 492 | CLASS C | COST 1500000
ID 493 | CLASS C | COST 1500000
ID 494 | CLASS C | COST 1500000
ID 495 | CLASS C | COST 1500000
ID 496 | CLASS C | COST 1500000
ID 497 | CLASS C | COST 1500000
ID 498 | CLASS B | COST 2500000
ID 499 | CLASS B | COST 2500000
ID 500 | CLASS B | COST 2500000
ID 501 | CLASS A | COST 16000000
ID 502 | CLASS A | COST 16000000
ID 503 | CLASS A | COST 16000000
ID 504 | CLASS A | COST 16000000
ID 505 | CLASS A | COST 16000000
ID 506 | CLASS A | COST 16000000
ID 507 | CLASS B | COST 2500000
ID 508 | CLASS B | COST 1300000
ID 509 | CLASS B | COST 2500000
ID 510 | CLASS B | COST 1300000
ID 511 | CLASS B | COST 1300000
ID 512 | CLASS C | COST 1500000
ID 513 | CLASS C | COST 800000
ID 514 | CLASS B | COST 2500000
ID 515 | CLASS B | COST 1500000
ID 516 | CLASS B | COST 2500000
ID 517 | CLASS B | COST 2500000
ID 518 | CLASS B | COST 2500000
ID 519 | CLASS B | COST 2500000
ID 520 | CLASS B | COST 2500000
ID 521 | CLASS B | COST 2500000
ID 522 | CLASS B | COST 2500000
ID 523 | CLASS B | COST 2500000
ID 524 | CLASS B | COST 1500000
ID 525 | CLASS B | COST 2500000
ID 526 | CLASS B | COST 2500000
ID 527 | CLASS B | COST 2500000
ID 528 | CLASS B | COST 2500000
ID 529 | CLASS B | COST 2500000
ID 530 | CLASS B | COST 2500000
ID 531 | CLASS B | COST 2500000
ID 532 | CLASS C | COST 600000
ID 533 | CLASS B | COST 2500000
ID 534 | CLASS D | COST 350000
ID 535 | CLASS C | COST 800000
ID 536 | CLASS D | COST 350000
ID 537 | CLASS C | COST 800000
ID 538 | CLASS D | COST 350000
ID 539 | CLASS C | COST 1500000
ID 540 | CLASS D | COST 350000
ID 541 | CLASS C | COST 1500000
ID 542 | CLASS D | COST 350000
ID 543 | CLASS S | COST 
ID 544 | CLASS A | COST 16000000
ID 545 | CLASS B | COST 2500000
ID 546 | CLASS B | COST 2500000
ID 547 | CLASS S | COST 30000000
ID 548 | CLASS B | COST 2500000
ID 549 | CLASS C | COST 1500000
ID 550 | CLASS D | COST 350000
ID 551 | CLASS D | COST 350000
ID 552 | CLASS C | COST 800000
ID 553 | CLASS D | COST 350000
ID 554 | CLASS C | COST 1500000
ID 555 | CLASS C | COST 1500000
ID 556 | CLASS D | COST 350000
ID 557 | CLASS C | COST 1500000
ID 558 | CLASS D | COST 350000
ID 559 | CLASS C | COST 1500000
ID 560 | CLASS D | COST 350000
ID 561 | CLASS C | COST 1500000
ID 562 | CLASS D | COST 350000
ID 563 | CLASS S | COST 1000000
ID 564 | CLASS C | COST 1500000
ID 565 | CLASS C | COST 1500000
ID 566 | CLASS D | COST 350000
ID 567 | CLASS D | COST 350000
ID 568 | CLASS D | COST 350000
ID 569 | CLASS C | COST 1500000
ID 570 | CLASS D | COST 350000
ID 571 | CLASS C | COST 800000
ID 572 | CLASS C | COST 1500000
ID 573 | CLASS D | COST 350000
ID 574 | CLASS C | COST 1500000
ID 575 | CLASS D | COST 350000
ID 576 | CLASS D | COST 350000
ID 577 | CLASS C | COST 1500000
ID 578 | CLASS D | COST 350000
ID 579 | CLASS C | COST 800000
ID 580 | CLASS D | COST 350000
ID 581 | CLASS B | COST 2500000
ID 582 | CLASS D | COST 350000
ID 583 | CLASS C | COST 1500000
ID 584 | CLASS S | COST 20000000
ID 585 | CLASS D | COST 350000
ID 586 | CLASS C | COST 1500000
ID 587 | CLASS D | COST 350000
ID 588 | CLASS C | COST 800000
ID 589 | CLASS D | COST 350000
ID 590 | CLASS D | COST 350000
ID 591 | CLASS B | COST 2500000
ID 592 | CLASS C | COST 1500000
ID 593 | CLASS B | COST 2500000
ID 594 | CLASS D | COST 350000
ID 595 | CLASS C | COST 1500000
ID 596 | CLASS D | COST 350000
ID 597 | CLASS D | COST 350000
ID 598 | CLASS D | COST 350000
ID 599 | CLASS C | COST 1500000
ID 600 | CLASS B | COST 2500000
ID 601 | CLASS D | COST 350000
ID 602 | CLASS C | COST 1500000
ID 603 | CLASS D | COST 350000
ID 604 | CLASS C | COST 600000
ID 605 | CLASS C | COST 600000
ID 606 | CLASS D | COST 350000
ID 607 | CLASS D | COST 350000
ID 608 | CLASS C | COST 1500000
ID 609 | CLASS D | COST 350000
ID 610 | CLASS C | COST 1500000
ID 611 | CLASS D | COST 350000
ID 612 | CLASS B | COST 2500000
ID 613 | CLASS C | COST 800000
ID 614 | CLASS D | COST 350000
ID 615 | CLASS C | COST 800000
ID 616 | CLASS D | COST 350000
ID 617 | CLASS B | COST 900000
ID 618 | CLASS D | COST 350000
ID 619 | CLASS D | COST 350000
ID 620 | CLASS C | COST 1500000
ID 621 | CLASS D | COST 350000
ID 622 | CLASS C | COST 1500000
ID 623 | CLASS D | COST 350000
ID 624 | CLASS C | COST 1500000
ID 625 | CLASS C | COST 400000
ID 626 | CLASS C | COST 400000
ID 627 | CLASS C | COST 400000
ID 628 | CLASS C | COST 400000
ID 629 | CLASS C | COST 400000
ID 630 | CLASS C | COST 400000
ID 631 | CLASS C | COST 500000
ID 632 | CLASS C | COST 400000
ID 633 | CLASS B | COST 2500000
ID 634 | CLASS C | COST 1500000
ID 635 | CLASS S | COST 2500000
ID 636 | CLASS B | COST 2500000
ID 637 | CLASS B | COST 2500000
ID 638 | CLASS C | COST 1500000
ID 639 | CLASS B | COST 2500000
ID 640 | CLASS C | COST 1500000
ID 641 | CLASS C | COST 1500000
ID 642 | CLASS C | COST 1500000
ID 643 | CLASS B | COST 2500000
ID 644 | CLASS C | COST 1500000
ID 645 | CLASS C | COST 1500000
ID 646 | CLASS C | COST 1500000
ID 647 | CLASS C | COST 1500000
ID 648 | CLASS B | COST 2500000
ID 649 | CLASS C | COST 1500000
ID 650 | CLASS C | COST 1500000
ID 651 | CLASS B | COST 1900000
ID 652 | CLASS B | COST 2500000
ID 653 | CLASS B | COST 2500000
ID 654 | CLASS B | COST 2500000
ID 655 | CLASS D | COST 350000
ID 656 | CLASS D | COST 350000
ID 657 | CLASS D | COST 350000
ID 658 | CLASS D | COST 350000
ID 659 | CLASS D | COST 350000
ID 660 | CLASS C | COST 1500000
ID 661 | CLASS C | COST 1500000
ID 662 | CLASS D | COST 350000
ID 663 | CLASS D | COST 350000
ID 664 | CLASS C | COST 1500000
ID 665 | CLASS C | COST 1500000
ID 666 | CLASS C | COST 1500000
ID 667 | CLASS C | COST 1500000
ID 668 | CLASS C | COST 1500000
ID 669 | CLASS C | COST 1500000
ID 670 | CLASS C | COST 1500000
ID 671 | CLASS B | COST 350000
ID 672 | CLASS D | COST 350000
ID 673 | CLASS B | COST 2500000
ID 674 | CLASS S | COST 30000000
ID 675 | CLASS B | COST 2000000
ID 676 | CLASS B | COST 2000000
ID 677 | CLASS C | COST 1500000
ID 678 | CLASS C | COST 1500000
ID 679 | CLASS C | COST 1500000
ID 680 | CLASS C | COST 1500000
ID 681 | CLASS N | COST 500000
ID 682 | CLASS N | COST 500000
ID 683 | CLASS N | COST 500000
ID 684 | CLASS N | COST 500000
ID 685 | CLASS N | COST 500000
ID 686 | CLASS N | COST 500000
ID 687 | CLASS N | COST 500000
ID 688 | CLASS N | COST 500000
ID 689 | CLASS N | COST 500000
ID 690 | CLASS N | COST 500000
ID 691 | CLASS N | COST 500000
ID 692 | CLASS N | COST 500000
ID 693 | CLASS N | COST 500000
ID 694 | CLASS N | COST 500000
ID 695 | CLASS N | COST 500000
ID 696 | CLASS N | COST 500000
ID 697 | CLASS N | COST 500000
ID 698 | CLASS N | COST 500000
ID 699 | CLASS N | COST 500000
ID 700 | CLASS N | COST 500000
ID 701 | CLASS D | COST 350000
ID 702 | CLASS D | COST 350000
ID 703 | CLASS C | COST 1500000
ID 704 | CLASS C | COST 1500000
ID 705 | CLASS N | COST 500000
ID 706 | CLASS N | COST 500000
ID 707 | CLASS N | COST 500000
ID 708 | CLASS N | COST 500000
ID 709 | CLASS N | COST 500000
ID 710 | CLASS N | COST 500000
ID 711 | CLASS N | COST 500000
ID 712 | CLASS N | COST 500000
ID 713 | CLASS N | COST 500000
ID 714 | CLASS N | COST 500000
ID 715 | CLASS C | COST 1500000
ID 716 | CLASS C | COST 1500000
ID 717 | CLASS N | COST 500000
ID 718 | CLASS D | COST 350000
ID 719 | CLASS D | COST 350000
ID 720 | CLASS D | COST 350000
ID 721 | CLASS D | COST 350000
ID 722 | CLASS D | COST 350000
ID 723 | CLASS D | COST 350000
ID 724 | CLASS N | COST 500000
ID 725 | CLASS D | COST 350000
ID 726 | CLASS D | COST 350000
ID 727 | CLASS N | COST 500000
ID 728 | CLASS N | COST 500000
ID 729 | CLASS N | COST 500000
ID 730 | CLASS B | COST 2500000
ID 731 | CLASS D | COST 350000
ID 732 | CLASS D | COST 350000
ID 733 | CLASS D | COST 350000
ID 734 | CLASS D | COST 350000
ID 735 | CLASS D | COST 350000
ID 736 | CLASS D | COST 350000
ID 737 | CLASS D | COST 350000
ID 738 | CLASS N | COST 500000
ID 739 | CLASS N | COST 500000
ID 740 | CLASS N | COST 500000
ID 741 | CLASS D | COST 350000
ID 742 | CLASS N | COST 500000
ID 743 | CLASS N | COST 500000
ID 744 | CLASS N | COST 500000
ID 745 | CLASS D | COST 350000
ID 746 | CLASS D | COST 350000
ID 747 | CLASS N | COST 500000
ID 748 | CLASS N | COST 500000
ID 749 | CLASS D | COST 350000
ID 750 | CLASS D | COST 350000
ID 751 | CLASS N | COST 500000
ID 752 | CLASS N | COST 500000
ID 753 | CLASS D | COST 350000
ID 754 | CLASS N | COST 500000
ID 755 | CLASS D | COST 350000
ID 756 | CLASS N | COST 500000
ID 757 | CLASS D | COST 350000
ID 758 | CLASS N | COST 500000
